imdb_id,title,release_date,original_language,genres,runtime,vote_average,overview,primaryName,primaryProfession
tt0107652,The Birth of Love,1993-09-22,fr,['Drama'],94,6.1,"The unhappy love lives of Paul and Marcus, two artists and friends who are neither particularly young or successful anymore.",Lou Castel,"actor,director,archive_footage"
tt0107652,The Birth of Love,1993-09-22,fr,['Drama'],94,6.1,"The unhappy love lives of Paul and Marcus, two artists and friends who are neither particularly young or successful anymore.",Jean-Pierre Léaud,"actor,assistant_director,director"
tt0089184,Le Gaffeur,1985-09-04,fr,['Comedy'],95,6.667,"A good country priest discovers that he is a father and must assume his role, a task all the more delicate since his son is a thug.",Jean Lefebvre,"actor,archive_footage,archive_sound"
tt0089184,Le Gaffeur,1985-09-04,fr,['Comedy'],95,6.667,"A good country priest discovers that he is a father and must assume his role, a task all the more delicate since his son is a thug.",Jean Roucas,"writer,music_department,actor"
tt0259534,Ramayana: The Legend of Prince Rama,1992-12-05,en,"['Animation', 'Fantasy', 'Family', 'Action', 'Adventure']",129,8.2,"In Ayodhya, the royal palace of Kosala Kingdom in Ancient India, four princes were born to three queens, each of whom grew to great stature. Banished for 14 years due to court intrigue, Prince Rama retreated to the forest with his beautiful wife Sita. When Rama vanquishes the demons of the forest, he invites the wrath of the demon king Ravana, who kidnaps Sita. Based on the Indian epic the Ramayana.",Arun Govil,"actor,producer,director"
tt0259534,Ramayana: The Legend of Prince Rama,1992-12-05,en,"['Animation', 'Fantasy', 'Family', 'Action', 'Adventure']",129,8.2,"In Ayodhya, the royal palace of Kosala Kingdom in Ancient India, four princes were born to three queens, each of whom grew to great stature. Banished for 14 years due to court intrigue, Prince Rama retreated to the forest with his beautiful wife Sita. When Rama vanquishes the demons of the forest, he invites the wrath of the demon king Ravana, who kidnaps Sita. Based on the Indian epic the Ramayana.",Nikhil Kapoor,actor
tt0102859,Science Crazed,1991-01-01,en,"['Horror', 'Comedy']",90,6.8,"A mad scientist injects a woman with an untested growth serum. She dies, but gives birth to a full-grown monster.",Tony Della Ventura,actor
tt0087359,"Grandview, U.S.A.",1984-08-03,en,['Drama'],97,6.1,"Life in the small town of Grandview, Illinois is one that is just like any other city or town. Tim Pearson, soon to be graduating high school wants to go to Florida to study oceanography. He meets Michelle ""Mike"" Cody and is attracted to her. She runs the local Demolition Derby place. Ernie ""Slam"" Webster is one of the drivers in the derby whose wife is cheating on him and wants to later on be with Mike. Tim falls for Mike and a big love triangle is about to happen.",Jamie Lee Curtis,"actress,producer,director"
tt0087359,"Grandview, U.S.A.",1984-08-03,en,['Drama'],97,6.1,"Life in the small town of Grandview, Illinois is one that is just like any other city or town. Tim Pearson, soon to be graduating high school wants to go to Florida to study oceanography. He meets Michelle ""Mike"" Cody and is attracted to her. She runs the local Demolition Derby place. Ernie ""Slam"" Webster is one of the drivers in the derby whose wife is cheating on him and wants to later on be with Mike. Tim falls for Mike and a big love triangle is about to happen.",C. Thomas Howell,"actor,producer,director"
tt0110392,Love Is a Gun,1994-11-30,en,"['Mystery', 'Crime', 'Drama']",105,6.2,A model causes an obsessed police photographer to lose his girlfriend and become a murder suspect.,Eric Roberts,"actor,producer,soundtrack"
tt0110392,Love Is a Gun,1994-11-30,en,"['Mystery', 'Crime', 'Drama']",105,6.2,A model causes an obsessed police photographer to lose his girlfriend and become a murder suspect.,Kelly Preston,"actress,soundtrack,archive_footage"
tt0133376,L'argent fait le bonheur,1993-04-14,fr,['Comedy'],91,6.1,"How the mothers of a deprived suburb of Marseille will create a solidarity committee under the aegis of the parish priest. Gathered in assembly, they will invent a solution to the endemic misery of their city.",Ariane Ascaride,"actress,director,writer"
tt0133376,L'argent fait le bonheur,1993-04-14,fr,['Comedy'],91,6.1,"How the mothers of a deprived suburb of Marseille will create a solidarity committee under the aegis of the parish priest. Gathered in assembly, they will invent a solution to the endemic misery of their city.",Jean-Pierre Darroussin,"actor,director,writer"
tt0301734,Les planqués du régiment,1983-06-15,fr,['Comedy'],90,6.0,"A young engineer, inventor of a dangerous ping-pong ball, which makes him pursued by the American and Russian secret services, finds refuge in a military camp where his irruption sows some semi-catastrophes.",Paul Préboist,"actor,soundtrack,archive_footage"
tt0301734,Les planqués du régiment,1983-06-15,fr,['Comedy'],90,6.0,"A young engineer, inventor of a dangerous ping-pong ball, which makes him pursued by the American and Russian secret services, finds refuge in a military camp where his irruption sows some semi-catastrophes.",Jacques Préboist,actor
tt0080540,City in Fear,1980-03-30,en,"['Drama', 'Thriller', 'TV Movie']",136,6.2,"A psycho-on-the-loose story, about a burned-out newspaper columnist and his circulation-hungry publisher who wants him to turn the killer into Page One news.",David Janssen,"actor,sound_department,miscellaneous"
tt0080540,City in Fear,1980-03-30,en,"['Drama', 'Thriller', 'TV Movie']",136,6.2,"A psycho-on-the-loose story, about a burned-out newspaper columnist and his circulation-hungry publisher who wants him to turn the killer into Page One news.",Robert Vaughn,"actor,director,archive_footage"
tt0079481,The London Connection,1979-12-21,en,"['Adventure', 'Family', 'TV Movie']",84,7.8,"A missing formula, a defecting Eastern European scientist kidnapped, car chases, foot chases, air chases, the British secret service, and a couple of American tourists caught right in the middle.",Jeffrey Byron,"actor,writer,producer"
tt0079481,The London Connection,1979-12-21,en,"['Adventure', 'Family', 'TV Movie']",84,7.8,"A missing formula, a defecting Eastern European scientist kidnapped, car chases, foot chases, air chases, the British secret service, and a couple of American tourists caught right in the middle.",Larry Cedar,"actor,soundtrack,miscellaneous"
tt0079988,Tarka the Otter,1979-11-01,en,"['Family', 'Drama', 'Adventure']",87,6.6,"Set in the English countryside of the 1920s - when otter hunting was still legal - this film follows the life of Tarka the Otter from his birth into adulthood. We witness his close shaves, and his struggle with a man who tries to keep our furry hero as a pet.",Peter Bennett,actor
tt0079988,Tarka the Otter,1979-11-01,en,"['Family', 'Drama', 'Adventure']",87,6.6,"Set in the English countryside of the 1920s - when otter hunting was still legal - this film follows the life of Tarka the Otter from his birth into adulthood. We witness his close shaves, and his struggle with a man who tries to keep our furry hero as a pet.",Edward Underdown,"actor,archive_footage"
tt0089069,An Early Frost,1985-05-01,en,"['Drama', 'TV Movie']",100,6.241,"Michael Pierson, a young gay man and professional attorney, is struck with AIDS in the prime of his life. Having never even come out to his family, he finds himself in the unenviable position of dropping two bombshells on them. He must come to terms with the inevitability of his premature death while trying to maintain his relationships with family members who harbor fears, resentments, and denial.  Airing on network television during the height of the original AIDS epidemic, ""An Early Frost"" was many people's first look at an AIDS victim as a human being rather than a statistic.",Gena Rowlands,"actress,miscellaneous,writer"
tt0089069,An Early Frost,1985-05-01,en,"['Drama', 'TV Movie']",100,6.241,"Michael Pierson, a young gay man and professional attorney, is struck with AIDS in the prime of his life. Having never even come out to his family, he finds himself in the unenviable position of dropping two bombshells on them. He must come to terms with the inevitability of his premature death while trying to maintain his relationships with family members who harbor fears, resentments, and denial.  Airing on network television during the height of the original AIDS epidemic, ""An Early Frost"" was many people's first look at an AIDS victim as a human being rather than a statistic.",Ben Gazzara,"actor,director,writer"
tt0089178,Erotic Escape,1985-01-01,en,"['Adventure', 'Drama']",85,6.0,An escaped convict kidnaps the daughter of a wealthy man and heads into the desert.,Rodrigo Obregón,"actor,writer"
tt0089178,Erotic Escape,1985-01-01,en,"['Adventure', 'Drama']",85,6.0,An escaped convict kidnaps the daughter of a wealthy man and heads into the desert.,Eleonora Vallone,actress
